[203/389] transformer.h.23.mlp.c_fc.weight (2560, 10240)
[204/389] transformer.h.23.mlp.c_proj.bias (2560,)
[205/389] transformer.h.23.mlp.c_proj.weight (10240, 2560)
[206/389] transformer.h.24.attn.c_attn.bias (7680,)
[207/389] transformer.h.24.attn.c_attn.weight (2560, 7680)
[208/389] transformer.h.24.attn.c_proj.bias (2560,)
[209/389] transformer.h.24.attn.c_proj.weight (2560, 2560)
[210/389] transformer.h.24.ln_1.bias (2560,)
[211/389] transformer.h.24.ln_1.weight (2560,)
[212/389] transformer.h.24.ln_2.bias (2560,)
[213/389] transformer.h.24.ln_2.weight (2560,)
[214/389] transformer.h.24.mlp.c_fc.bias (10240,)
[215/389] transformer.h.24.mlp.c_fc.weight (2560, 10240)
[216/389] transformer.h.24.mlp.c_proj.bias (2560,)
[217/389] transformer.h.24.mlp.c_proj.weight (10240, 2560)
[218/389] transformer.h.25.attn.c_attn.bias (7680,)
[219/389] transformer.h.25.attn.c_attn.weight (2560, 7680)
[220/389] transformer.h.25.attn.c_proj.bias (2560,)
[221/389] transformer.h.25.attn.c_proj.weight (2560, 2560)
[222/389] transformer.h.25.ln_1.bias (2560,)
[223/389] transformer.h.25.ln_1.weight (2560,)
[224/389] transformer.h.25.ln_2.bias (2560,)
[225/389] transformer.h.25.ln_2.weight (2560,)
[226/389] transformer.h.25.mlp.c_fc.bias (10240,)
[227/389] transformer.h.25.mlp.c_fc.weight (2560, 10240)
[228/389] transformer.h.25.mlp.c_proj.bias (2560,)
[229/389] transformer.h.25.mlp.c_proj.weight (10240, 2560)
[230/389] transformer.h.26.attn.c_attn.bias (7680,)
[231/389] transformer.h.26.attn.c_attn.weight (2560, 7680)
[232/389] transformer.h.26.attn.c_proj.bias (2560,)
[233/389] transformer.h.26.attn.c_proj.weight (2560, 2560)
[234/389] transformer.h.26.ln_1.bias (2560,)
[235/389] transformer.h.26.ln_1.weight (2560,)
[236/389] transformer.h.26.ln_2.bias (2560,)
[237/389] transformer.h.26.ln_2.weight (2560,)
[238/389] transformer.h.26.mlp.c_fc.bias (10240,)
[239/389] transformer.h.26.mlp.c_fc.weight (2560, 10240)
[240/389] transformer.h.26.mlp.c_proj.bias (2560,)
[241/389] transformer.h.26.mlp.c_proj.weight (10240, 2560)
[242/389] transformer.h.27.attn.c_attn.bias (7680,)
[243/389] transformer.h.27.attn.c_attn.weight (2560, 7680)
[244/389] transformer.h.27.attn.c_proj.bias (2560,)
[245/389] transformer.h.27.attn.c_proj.weight (2560, 2560)
[246/389] transformer.h.27.ln_1.bias (2560,)
[247/389] transformer.h.27.ln_1.weight (2560,)
[248/389] transformer.h.27.ln_2.bias (2560,)
[249/389] transformer.h.27.ln_2.weight (2560,)
[250/389] transformer.h.27.mlp.c_fc.bias (10240,)
[251/389] transformer.h.27.mlp.c_fc.weight (2560, 10240)
[252/389] transformer.h.27.mlp.c_proj.bias (2560,)
[253/389] transformer.h.27.mlp.c_proj.weight (10240, 2560)
[254/389] transformer.h.28.attn.c_attn.bias (7680,)
[255/389] transformer.h.28.attn.c_attn.weight (2560, 7680)
[256/389] transformer.h.28.attn.c_proj.bias (2560,)
[257/389] transformer.h.28.attn.c_proj.weight (2560, 2560)
[258/389] transformer.h.28.ln_1.bias (2560,)
[259/389] transformer.h.28.ln_1.weight (2560,)
[260/389] transformer.h.28.ln_2.bias (2560,)
[261/389] transformer.h.28.ln_2.weight (2560,)
[262/389] transformer.h.28.mlp.c_fc.bias (10240,)
[263/389] transformer.h.28.mlp.c_fc.weight (2560, 10240)
[264/389] transformer.h.28.mlp.c_proj.bias (2560,)
[265/389] transformer.h.28.mlp.c_proj.weight (10240, 2560)
[266/389] transformer.h.29.attn.c_attn.bias (7680,)
[267/389] transformer.h.29.attn.c_attn.weight (2560, 7680)
[268/389] transformer.h.29.attn.c_proj.bias (2560,)
[269/389] transformer.h.29.attn.c_proj.weight (2560, 2560)
[270/389] transformer.h.29.ln_1.bias (2560,)
[271/389] transformer.h.29.ln_1.weight (2560,)
[272/389] transformer.h.29.ln_2.bias (2560,)
[273/389] transformer.h.29.ln_2.weight (2560,)
[274/389] transformer.h.29.mlp.c_fc.bias (10240,)
[275/389] transformer.h.29.mlp.c_fc.weight (2560, 10240)
[276/389] transformer.h.29.mlp.c_proj.bias (2560,)
[277/389] transformer.h.29.mlp.c_proj.weight (10240, 2560)
[278/389] transformer.h.3.attn.c_attn.bias (7680,)
[279/389] transformer.h.3.attn.c_attn.weight (2560, 7680)
[280/389] transformer.h.3.attn.c_proj.bias (2560,)
[281/389] transformer.h.3.attn.c_proj.weight (2560, 2560)
[282/389] transformer.h.3.ln_1.bias (2560,)
[283/389] transformer.h.3.ln_1.weight (2560,)
[284/389] transformer.h.3.ln_2.bias (2560,)
[285/389] transformer.h.3.ln_2.weight (2560,)
[286/389] transformer.h.3.mlp.c_fc.bias (10240,)
[287/389] transformer.h.3.mlp.c_fc.weight (2560, 10240)
[288/389] transformer.h.3.mlp.c_proj.bias (2560,)
[289/389] transformer.h.3.mlp.c_proj.weight (10240, 2560)
[290/389] transformer.h.30.attn.c_attn.bias (7680,)
[291/389] transformer.h.30.attn.c_attn.weight (2560, 7680)
[292/389] transformer.h.30.attn.c_proj.bias (2560,)
[293/389] transformer.h.30.attn.c_proj.weight (2560, 2560)
[294/389] transformer.h.30.ln_1.bias (2560,)
[295/389] transformer.h.30.ln_1.weight (2560,)
[296/389] transformer.h.30.ln_2.bias (2560,)
[297/389] transformer.h.30.ln_2.weight (2560,)
[298/389] transformer.h.30.mlp.c_fc.bias (10240,)
